Career,Gifted,Mighty,Human (Cygnaran),Human (Khadoran),Human (Llaelese),Human (Ordic),Human (Protectorate),Dwarf,Gobber,Iosan,Nyss,Ogrun,Trollkin,Satyxis,Career Restrictions,Bonus Stats,Benefit Bonus,Starting Abilities,All Abilities,Starting Conns,All Conns,Starting Mil,All Military,Starting Occ,All Occ,Starting Sp,All Sp,GC,Assets
Gun Mage (Arcane Tempest),1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Gun Mage (Arcane Tempest), Aristocrat, Horseman, Military Officer, Pistoleer, Ranger, Rifleman, Soldier, Spy, Warcaster, Warcaster (Cygnaran)",-,-,"Craft Rune Shot, Fast Reload","Arcane Precision, Craft Rune Shot, Fast Draw, Fast Reload, Gunfighter, Keen Eyed, Runesmith",Cygnaran military,Gun Mage Order,"Choose one: Pistol 1, Rifle 1","Pistol 4, Rifle 4","Detection 1, Intimidation 1","General Skills 4, Seduction 2","Rune Shot: Accuracy, Rune Shot: Brutal, Rune Shot: Thunderbolt",Gun Mage (Arcane Tempest),25,"Armored great coat, ammo bandolier, magelock pistol or magelock rifle (with powder and 10 rounds of ammunition), rune shot casting kit"
Guttersnipe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-,-,"Lost in the Crowd, Low Breeding, Perfect Timing","Astute, Camouflage, Disease Resistance, Dodger, Find Cover, Flash Theif, Hit 'em Low, Language, Lost in the Crowd, Low Breeding, Perfect Timing, Roll With It, Scoping It Out",Black Market,Black Market,"Choose one: Hand Weapon 1, Pistol 1, Sling 1, Thrown Weapon 1, Unarmed Combat 1","Hand Weapon 3, Pistol 3, Sling 3, Thrown Weapon 3, Unarmed 3","Deception 1, Escape Artist 1, Sneak 1, Streetwise 1","Bibery 4, Deception 4, Disguise 4, Escape Artist 4, General Skills 4, Negotiation 4, Pick Pocket 4, Sneak 4, Streetwise 4",-,-,50,-
Highwayman,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,"Ambush, Saddle Shot","Ambush, Appraise, Binding, Expert Rider, Fast Draw, Fast Reload, Light Cavalry, Prowl, Ride-By Attack, Saddle Shot, Swift Hunter, Swift Rider, Traceless Path, Two-Weapon Fighting, Waylay",None,Criminal,"Hand Weapon 1, Choose one: Archery 1, Crossbow 1, Pistol 1","Archery 3, Crossbow 3, Hand Weapon 3, Pistol 3, Unarmed Combat 3","Animal Handling 1, Detection 1, Intimidation 1, Riding 1","Bribery 2, Deception 3, Disguise 2, General Skills 4, Interrogation 2, Negotiation 4, Rope Use 4, Seduction 4, Sneak 4, Survival 2",-,-,75,"mask, riding horse, tack"
Horseman,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,"Cavalry Charge, Combat Rider","Cavalry Charge, Combat Rider, Expert Rider, Mounted: Counter Charge, Ride-by Attack, Saddle Shot, Swift Rider, Trained Rider (any)",None,None,"Choose three: Great Weapon 1, Hand Weapon 1, Lance 1, Pistol 1","Great Weapon 4, Hand Weapon 2, Lance 4, Pistol 2, Unarmed Combat 2",Riding 1,"Command 3, General Skills 4, Navigation 3",-,-,25,Warhorse with tack and heavy barding
Investigator,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,Hyper Perception,"Astute, Language (Any)","Anatomical Precision, Astute, Iron Will, Language, Prowl, Signal Language, Truth Reader",None,Any,"Choose one: Hand Weapon 1, Pistol 1","Hand Weapon 2, Pistol 2, Unarmed Combat 2","Detection 1, Forensic Science 1, Interrogation 1, Law 1, Medicine 1, Sneak 1","Cryptography 4, Deception 4, Etiquette 2, Forensic Science 4, General Skills 4, Interrogation 4, Law 4, Medicine 2, Negotiation 3, Research 4, Sneak 4, Streetwise 4",-,-,100,-
Iron Fang,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Aristocrat, Military Officer, Soldier, Warcaster, Warcaster (Khadoran), Horseman",-,-,"Fast Rearm (Blasting Pike), Specialization (Blasting Pike)","Defensive Line, Fast Arm (Blasting Pike), Hyper Awareness, Load Bearing, Precision Strike, Relentless Charge, Rock Solid, Specialization (Blasting Pike), Swift Rider",Khadoran Military,Khadoran Military,"Great Weapon 1, Shield 1","Great Weapon 4, Lance 4, Shield 4, Unarmed Combat 3","Command 1, Survival 1","Command 4, General Skills 4, Survival 2",-,-,25,"blasting pike (with a spear head and 10 blasting heads), Iron Fang full plate, shield"
Knight,0,0,1,1,1,1,1,0,0,1,0,0,0,1,-,-,-,"Cleave, Defender","Cavalry Charge, Cleave, Combat Rider, Defender, Defensive Line, Expert Rider, Iron Will, Load Bearing, Natural Leader, Precision Strike, Press the Attack, Relentless Charge, Ride-By Attack, Shield Slam",Knightly Order,Knightly Order,"Great Weapon 1, Hand Weapon 1, Shield 1","Great Weapon 4, Hand Weapon 4, Lance 4, Shield 4, Unarmed Combat 3","Command 1, Etiquette 1, Lore (Knightly Order) 1","Command 4, Etiquette 2, General Skills 4, Law 2",-,-,100,-
Labor Korune,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-,-,-,"Iron Will, Low Breeding","Jack Marshall, Battle Plan: Call to Action, Brawler, Drive: Pronto, Gang, Heave-Ho, Iron Will, Language, Low Breeding, Natural Leader, Rallying Cry",Worker's Union,Worker's Union,Unarmed Combat 1,"Unarmed Combat 4, Pistol 2","Command 1, Negotiation 1, Streetwise 1, Choose one: Craft (Any) 1, Craft (Metalworking) 1","Bribery 3, Command 4, Craft 4, Deception 2, Etiquette 2, General Skills 4, Mekanikal Engineering 2, Medicine 2, Negotiation 4, Streetwise 4",-,-,75,-
Long Rider,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,-,-,"Bull Rush, Cavalry Charge, Trained Rider (Bison)","Bull Rush, Cavalry Charge, Combat Rider, Expert Rider, Follow Up, Line Breaker, Load Bearing, Mounted: Counter Charge, Ride-by-Attack",None,None,"Shield 1, Choose Great Weapon 1, Hand Weapon 1","Great Weapon 4, Hand Weapon 3, Shield 4, Unarmed Combat 3","Animal Handling 1, Lore (Trollkin) 1, Riding 1","General Skills 4, Intimidation 4, Survival 3",-,-,75,"Bison, Tack and Harness"
Mage Hunter,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,-,-,"Arcane Assassin, Iron Will","Arcane Assassin, Camouflage, Crackshot, Crossbowman, Fast Draw, Fast Reload, Iron Will, Mage Killer, Parry, Quick Work, Shadow Magic, Traceless Path",Retribution of Scyrah,Retribution of Scyrah,"Hand Weapon 1, Choose one: Archery 1, Crossbow 1","Archery 4, Crossbow 4, Hand Weapon 4, Thrown Weapon 2","Climbing 1, Jumping 1, Sneak 1, Tracking 1","Deception 2, Disguise 2, General Skills 4, Rope Use 3, Sneak 4, Survival 2, Tracking 4",-,-,75,-
Man-at-Arms,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,"Defensive Line, Shield Guard","Bodyguard, Cleave, Defensive Line, Girded, Iron Will, Load Bearing, Retaliatory Strike, Set Defense, Shield Guard, Shield Slam, Specialization (Halberd), Specialization (Spear)",None,Employer,"Great Weapon 1, Shield 1, and Choose one: Hand Weapon 1, Pistol 1","Great Weapon 4, Hand Weapon 3, Pistol 3, Shield 4, Unarmed Combat 3","Command 1, Detection 1","Command 3, Craft (Metalworking) 2, General Skills 4",-,-,100,-
Man-O-War,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Aristocrat, Field Mechanik, Horseman, Man-at-Arms, Military Officer, Soldier",-,-,"Ironhead, Load Bearing","Cleave, Defensive Line, Girded, Head-Butt, Ironhead, Load Bearing, Man of Iron, Shield Slam, Steady, Steam Jockey",Khadoran Military,Khadoran Military,"Great Weapon 1, Light Artillery 1, Shield 1","Great Weapon 4, Light Artillary 4, Shield 3, Unarmed Combat 3","Command 1, Mechanikal Engineering 1","Command 3, General Skills 4, Mechanikal Engineering 2",-,-,0,"Man-O-War armour, and one of the following options; Annihilation blade and Man-O-War shield cannon (power & ten shots); Bombardier grenade cannon, Man-O-War ammo bandalier, four cannon grenades; Ice Maul"
Military Officer,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,"Battle Plan: Call to Action, Natural Leader, Team Leader","'Jack Marshall, Ace Commander, Battle Commander, Battle Plan: Call to Action, Battle Plan: Coordinated Strike, Battle Plan: Desperate Pace, Battle Plan: Go to Ground, Cavalry Charge, Defender, Drive: Assault, Drive: Pronto, Expert Rider, Good Breeding, Natural Leader, Port of Call, Ride-By Attack, Saddle Shot, Signal Language, Team Leader",None,"Kingdom Military, Mercenary Company","Hand Weapon 1, Choose one: Great Weapon 1, Pistol 1","Great Weapon 4, Hand Weapon 4, Pistol 4","Command 1, Medicine 1, Navigation 1","Command 4, Cryptography 4, Etiquette 4, General Skills 4, Interrogation 4, Law 4, Medicine 4, Navigation 4, Oratory 4",-,-,100,officer's uniform
Monster Hunter,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,"Big Game Hunter, Hunting Ground, Precision Strike","Anatomical Precision, Big Game Hunter, Binding, Camouflage, Deadly Skill, Dismember, Exterminator, Hunting Ground, Pathfinder, Poison Resistance, Precision Strike, Skilled Trapper, Staredown, Survivalist",None,adventuring scholar,"Hand Weapon 1, Choose one: Archery 1, Crossbow 1, Pistol 1, Rifle 1","Archery 4, Crossbow 4, Great Weapon 3, Hand Weapon 4, Pistol 3, Rifle 4, Thrown Weapon 3, Unarmed Combat 4","Lore (extraordinary zoology) 1, Survival 1, Tracking 1","Craft (skinner) 4, Escape Artist 3, General Skills 4, Investigation 2, Navigation 3, Negotiation 3, Research 3, Rope Use 3, Sneak 4, Survival 4, Tracking 4",-,-,100,-
Paladin (Order of the Wall),0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Aristocrat, Horseman, Investigator, Man-at-Arms, Military Officer, Priest (Menoth), Ranger, Soldier, Warcaster, Warcaster (Protectorate)",-,-,"Specialization (Firebrand), Stone-and-Mortar Stance","Fearless, Iron Will, Load Bearing, Impervious Wall Stance, Natural Leader, Precision Strike, Retaliatory Strike, Specialization (Firebrand), Stone-and-Mortar Stance",Order of the Wall,Order of the Wall,"Great Weapon 1, Shield 1","Great Weapon 4, Hand Weapon 4, Shield 4, Unarmed Combat 4","Command 1, Etiquette 1, Lore (Menite Faith)","Command 1, Etiquette 2, General Skills 4",-,-,0,"Firebrand, Full plate, and Shield"
Pirate,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,"Gang, Steady, Specialization (Cutlass)","Binding, Disease Resistance, Gang, Gunfighter, Head-Butt, Language, Port of Call, Quick Work, Specialization (Cutlass), Steady, Sucker!, Waylay",None,Pirate Crew,"Hand Weapon 1, Choose one: Pistol 1, Thrown Weapon 1","Hand Weapon 3, Light Artillery 2, Pistol 3, Rifle 2, Thrown Weapon 3, Unarmed Combat 3","Climbing 1, Intimidation 1, Sailing 1, Swimming 1","Command 2, Deception 3, General Skills 4, Navigation 4, Negotiation 2, Rope Use 4, Sailing 4",-,-,75,-
Pistoleer,0,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,"Fast Draw, Gunfighter, Return Fire","Chain Attack: Pin Down, Dodger, Fast Draw, Fast Reload, Gunfighter, Return Fire, Swift Hunter, Targeteer, Two-Weapon Fighting",None,None,Pistol 1,Pistol 4,"Detection 1, Intimidation 1, Sneak 1","Craft (Gunsmithing) 4, General Skills 4, Sneak 3",-,-,50,"ammo bandolier, either a hand cannon (with 10 ammo) or a pair of 2x pistol (repeating) (each with 1 ammo wheel and 10 ammo)"
Priest (Cyriss),1,0,1,1,1,1,1,0,0,0,0,0,0,0,-,-,-,"Enigma Cipher, Genius","Blaster, Bodge, Choir, Clockwork Transcendence, Enigma Cipher, Inscribe Formulae, Language, Vessel Upgrade",Convergence of Cyriss,Convergence of Cyriss,Hand Weapon 1,Hand Weapon 3,"Lore (Cyriss) 1, Mechanikal Engineering 1","Alchemy 3, Command 3, Craft (any) 4, Cryptography 4, General Skills 4, Mechanikal Engineering 4, Research 4","Guided Blade, Dissolution Bolt",Priest (Cyriss),0,"Optifex armor, Tuning Kit"
Priest (Menoth),1,0,0,1,1,1,1,0,0,0,0,0,0,0,-,-,-,Dispel,"Choir, Dispel, Language, Natural Leader, Rallying Cry, University Education",Menite Temple,Menite Temple,"Choose one: Great Weapon 1, Hand Weapon 1","Great Weapon 3, Hand Weapon 3, Shield 2","Lore (Menite Faith) 1, Oratory 1","Command 2, Cryptography 2, Etiquette 4, General Skills 4, Law 4, Medicine 4, Negotiation 4, Oratory 4, Research 4","Guided Blade, Ignite, Immolation",Priest (Menoth),75,-
Priest (Morrow),1,0,1,1,1,1,0,0,0,0,0,0,0,0,-,-,-,Empower,"Choir, Empower, Language, Natural Leader, Rallying Cry, University Education",Morrowan Church,Morrowan Church,"Choose one: Great Weapon 1, Hand Weapon 1","Great Weapon 3, Hand Weapon 3, Shield 2","Lore (Morrowan Faith) 1, Medicine 1","Command 2, Cryptography 2, Etiquette 4, General Skills 4, Law 4, Medicine 4, Negotiation 4, Oratory 4, Research 4","Blade of Radiance, Solovin's Boon, True Sight",Priest (Morrow),75,-
Priest (Nyssor),1,0,0,0,0,0,0,0,0,0,1,0,0,0,-,-,-,Empower Weapon,"Astute, Cold Steel, Empower Weapon, Immunity: Cold, Natural Leader, Snow-Wreathed",Fane of Nyssor,"Fane of Nyssor, human settlement, Nyss shard",Great Weapon 1,Great Weapon 3,"Craft (metalworking) 1, Lore (Faith of Nyssor) 1, Lore (Nyss) 1, Survival 1","Command 3, Craft (metalworking) 4, General Skills 4, Interrogation 3, Medicine 2, Navigation 3, Negotiation 3, Oratory 3, Research 2, Survival 3","Hand of Fate, Hidden Path, Staying Winter’s Hand",Priest (Nyssor),50,"Nyss claymore, Nyss leather armor"
